组合ID,主题,主题序号,组合内顺序,主题组合显示,剧本数量,主要核心主题
combo-8b2136d5,文人世情,12,2,礼教品格 + 文人世情,3,文人世情
combo-63a7958f,公案冤狱,5,1,公案冤狱 + 战争武略 + 恩怨报偿,3,恩怨报偿
combo-63a7958f,战争武略,7,2,公案冤狱 + 战争武略 + 恩怨报偿,3,恩怨报偿
combo-63a7958f,恩怨报偿,8,3,公案冤狱 + 战争武略 + 恩怨报偿,3,恩怨报偿
combo-cdcc7b9f,婚恋姻缘,3,1,婚恋姻缘 + 公案冤狱 + 恩怨报偿,3,婚恋姻缘
combo-cdcc7b9f,公案冤狱,5,2,婚恋姻缘 + 公案冤狱 + 恩怨报偿,3,婚恋姻缘
combo-cdcc7b9f,恩怨报偿,8,3,婚恋姻缘 + 公案冤狱 + 恩怨报偿,3,婚恋姻缘
combo-a947208b,婚恋姻缘,3,1,婚恋姻缘 + 宗教祥瑞 + 文人世情,3,文人世情
combo-a947208b,宗教祥瑞,11,2,婚恋姻缘 + 宗教祥瑞 + 文人世情,3,文人世情
combo-a947208b,文人世情,12,3,婚恋姻缘 + 宗教祥瑞 + 文人世情,3,文人世情
combo-2c9de544,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 恩怨报偿,3,家庭亲情
combo-2c9de544,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 恩怨报偿,3,家庭亲情
combo-2c9de544,恩怨报偿,8,3,婚恋姻缘 + 家庭亲情 + 恩怨报偿,3,家庭亲情
combo-1a0342fb,家庭亲情,4,1,家庭亲情 + 善恶转化 + 礼教品格,3,家庭亲情
combo-1a0342fb,善恶转化,9,2,家庭亲情 + 善恶转化 + 礼教品格,3,家庭亲情
combo-1a0342fb,礼教品格,10,3,家庭亲情 + 善恶转化 + 礼教品格,3,家庭亲情
combo-184dd802,忠义家国,1,1,忠义家国 + 婚恋姻缘 + 恩怨报偿,3,婚恋姻缘
combo-184dd802,婚恋姻缘,3,2,忠义家国 + 婚恋姻缘 + 恩怨报偿,3,婚恋姻缘
combo-184dd802,恩怨报偿,8,3,忠义家国 + 婚恋姻缘 + 恩怨报偿,3,婚恋姻缘
combo-67e8c25a,忠义家国,1,1,忠义家国 + 战争武略 + 恩怨报偿,3,战争武略
combo-67e8c25a,战争武略,7,2,忠义家国 + 战争武略 + 恩怨报偿,3,战争武略
combo-67e8c25a,恩怨报偿,8,3,忠义家国 + 战争武略 + 恩怨报偿,3,战争武略
combo-6f52e464,政治权力,2,1,政治权力 + 善恶转化 + 宗教祥瑞,3,宗教祥瑞
combo-6f52e464,善恶转化,9,2,政治权力 + 善恶转化 + 宗教祥瑞,3,宗教祥瑞
combo-6f52e464,宗教祥瑞,11,3,政治权力 + 善恶转化 + 宗教祥瑞,3,宗教祥瑞
combo-cf756f23,政治权力,2,1,政治权力 + 家庭亲情 + 文人世情,3,政治权力
combo-cf756f23,家庭亲情,4,2,政治权力 + 家庭亲情 + 文人世情,3,政治权力
combo-cf756f23,文人世情,12,3,政治权力 + 家庭亲情 + 文人世情,3,政治权力
combo-03cdb023,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 宗教祥瑞 + 文人世情,3,婚恋姻缘
combo-03cdb023,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 宗教祥瑞 + 文人世情,3,婚恋姻缘
combo-03cdb023,宗教祥瑞,11,3,婚恋姻缘 + 家庭亲情 + 宗教祥瑞 + 文人世情,3,婚恋姻缘
combo-03cdb023,文人世情,12,4,婚恋姻缘 + 家庭亲情 + 宗教祥瑞 + 文人世情,3,婚恋姻缘
combo-62bc8592,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 战争武略 + 礼教品格,3,婚恋姻缘
combo-62bc8592,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 战争武略 + 礼教品格,3,婚恋姻缘
combo-62bc8592,战争武略,7,3,婚恋姻缘 + 家庭亲情 + 战争武略 + 礼教品格,3,婚恋姻缘
combo-62bc8592,礼教品格,10,4,婚恋姻缘 + 家庭亲情 + 战争武略 + 礼教品格,3,婚恋姻缘
combo-11386f65,家庭亲情,4,1,家庭亲情 + 公案冤狱 + 除暴侠义 + 恩怨报偿,3,恩怨报偿
